study_hours,attendance,previous_marks,assignments_score,sleep_hours,final_score
2,65,55,60,6,58
3,70,60,65,7,64
4,75,68,70,7,71
5,80,72,75,7,77
6,85,78,80,8,84
7,90,85,88,8,91
1,60,45,50,5,49
2,68,52,58,6,56
4,78,65,72,7,70
5,82,75,78,8,80
6,88,80,85,8,87
8,92,90,92,8,95
3,72,62,68,6,65
4,76,70,74,7,73
5,84,77,82,7,81
7,89,86,90,8,92
2,66,50,55,6,54
3,74,64,69,7,67
6,86,79,84,8,86
8,95,94,95,9,98
1,55,40,45,5,44
2,62,48,52,6,51
4,80,67,76,7,74
5,87,76,83,8,83
7,91,88,91,8,94
3,69,58,63,6,62
4,73,66,71,7,69
6,83,81,86,8,88
8,94,92,94,9,97
2,71,54,61,7,59
